state,month,lockdown_period,avg_severity
AL,10,before_lockdown,1.2423765640218776
AR,2,after_lockdown,1.1359223300970873
AR,4,before_lockdown,1.5186416184971099
AZ,8,after_lockdown,0.9310887970072849
CA,9,before_lockdown,0.9630609214375394
CO,3,after_lockdown,0.9627105400243098
FL,12,after_lockdown,0.7121662947351021
GA,2,before_lockdown,1.1253516811053232
GA,6,after_lockdown,1.196198545829278
IA,5,after_lockdown,0.9231283422459893
IA,6,after_lockdown,0.8910828025477707
IA,8,after_lockdown,0.9187562688064193
IA,12,before_lockdown,1.0572733661278988
ID,2,before_lockdown,1.5854315122723674
IL,11,after_lockdown,0.47460727058717006
KS,10,before_lockdown,1.2838447653429603
LA,3,before_lockdown,1.2426451843165247
MN,5,before_lockdown,1.2144448352679096
MS,2,before_lockdown,1.4824130879345603
MT,3,before_lockdown,1.7397644419517666
NC,6,before_lockdown,1.2475435584614822
NC,7,before_lockdown,1.2387828777720475
NJ,9,before_lockdown,1.1254696414490468
NV,2,after_lockdown,0.9444444444444444
NY,4,after_lockdown,1.0341936149008557
OH,2,before_lockdown,1.2934455006127248
OH,4,before_lockdown,1.3696578437701743
OH,7,after_lockdown,1.0468800868149757
OK,9,after_lockdown,0.910913140311804
RI,5,after_lockdown,1.1146694214876034
SD,11,after_lockdown,0.9718019257221459
TX,10,before_lockdown,0.9713521614214627
UT,12,before_lockdown,1.2025364138623806
VT,2,before_lockdown,1.4986376021798364
WA,6,before_lockdown,1.1633012226750647
WI,4,before_lockdown,1.4042316258351892
WI,5,after_lockdown,0.9685466377440347
AZ,4,after_lockdown,0.7657856093979442
AZ,6,after_lockdown,0.8641509433962264
AZ,10,after_lockdown,0.9374885089170804
CA,7,before_lockdown,1.0476275689292056
CT,9,before_lockdown,1.3507666804807295
DE,11,after_lockdown,0.9724837074583635
IL,6,after_lockdown,1.2074243765293904
IL,8,before_lockdown,1.0619719734911721
KS,4,before_lockdown,1.5597936744943668
KS,8,after_lockdown,1.0681137724550898
LA,4,before_lockdown,1.2615353205389954
LA,5,before_lockdown,1.1619257681776696
LA,7,after_lockdown,1.0006270575325287
LA,8,after_lockdown,0.9209748139084327
ME,12,before_lockdown,1.0755687973997834
MO,4,before_lockdown,1.41667251913758
MS,8,before_lockdown,1.2777777777777777
MS,10,before_lockdown,1.281064438091049
MT,4,after_lockdown,1.2822808671065034
ND,2,before_lockdown,1.4950539568345325
NE,12,before_lockdown,1.046458984585534
NH,9,after_lockdown,0.90715667311412
NJ,4,after_lockdown,1.1317490826489602
NJ,4,before_lockdown,1.257854262402701
NJ,11,before_lockdown,1.1415035367659154
NM,8,before_lockdown,1.3425436814303129
NV,7,before_lockdown,1.3878177037686241
NV,10,after_lockdown,0.7212806026365348
NY,1,after_lockdown,0.45803946542972834
OK,10,after_lockdown,1.032599837000815
OR,4,after_lockdown,1.1877239073322188
RI,4,after_lockdown,1.13003663003663
SC,7,after_lockdown,1.2037124060150375
SD,1,before_lockdown,1.6784096628082537
SD,9,before_lockdown,1.4086799276672695
VA,3,after_lockdown,0.8268597761685319
VA,12,after_lockdown,1.1041156142004398
VT,8,after_lockdown,1.1136363636363635
WA,10,before_lockdown,1.1203925999152662
WI,8,after_lockdown,1.0076603195447582
WV,4,before_lockdown,1.6053593179049939
CA,2,after_lockdown,0.6399520764410348
CA,10,before_lockdown,0.9803520654292195
CO,3,before_lockdown,1.4633376052727938
CO,4,after_lockdown,1.1027173578162548
DE,6,after_lockdown,1.128080657206871
FL,1,before_lockdown,1.0248171947706626
FL,6,after_lockdown,0.8811806103257902
FL,6,before_lockdown,1.0453892262082
GA,4,before_lockdown,1.1497662281178644
GA,10,before_lockdown,1.0396301572994504
ID,4,before_lockdown,1.4748010610079576
IL,2,after_lockdown,0.4276978793049413
KY,9,before_lockdown,1.378826261346844
MA,7,before_lockdown,1.0374033572473358
MD,9,after_lockdown,1.2333263202188092
MD,9,before_lockdown,1.0534550793796458
MI,7,after_lockdown,1.0593321013727561
MN,2,before_lockdown,1.2952526995080187
MO,7,before_lockdown,1.2950702548225768
MT,9,before_lockdown,1.6391752577319587
MT,11,before_lockdown,1.6007287870900573
NC,2,before_lockdown,1.2394903273809523
ND,2,after_lockdown,1.401015228426396
NE,7,after_lockdown,0.9559839941797017
NE,9,before_lockdown,1.278853601859024
NH,6,before_lockdown,1.2421570637687103
NH,12,after_lockdown,0.8819277108433735
NJ,1,before_lockdown,1.268966022261277
NJ,5,before_lockdown,1.1886290032385751
NM,10,before_lockdown,1.2508906806675417
NV,3,after_lockdown,0.8859864781807006
NV,4,before_lockdown,1.48020008336807
NY,7,before_lockdown,0.9926382948888733
NY,9,before_lockdown,0.9548821061767684
OR,5,after_lockdown,1.2904174015285126
OR,11,after_lockdown,1.1989783507662368
PA,7,after_lockdown,1.238499184339315
RI,6,before_lockdown,1.274548311076198
RI,12,before_lockdown,1.049534085335949
SC,9,after_lockdown,1.0343432133872907
TN,10,after_lockdown,0.9061272384062038
VA,2,before_lockdown,1.194424841213832
VT,9,after_lockdown,1.0834724540901504
AZ,10,before_lockdown,0.8955129472227713
CA,6,before_lockdown,1.0813014729296877
CA,8,after_lockdown,1.1460900294806864
DC,4,before_lockdown,1.087395766516998
DE,3,before_lockdown,1.2371475953565505
GA,1,before_lockdown,1.113423855598016
GA,4,after_lockdown,1.1267570747414701
IA,3,after_lockdown,0.9788004136504653
IL,7,after_lockdown,1.2175718319216078
KY,10,after_lockdown,0.8737402821767924
MA,9,before_lockdown,0.983739837398374
MA,10,after_lockdown,0.5893736075850993
ME,6,before_lockdown,1.3538399678327302
MI,11,before_lockdown,1.083069077119226
MN,1,after_lockdown,0.6421096693177062
MO,6,before_lockdown,1.3301147750045546
MO,7,after_lockdown,1.0425766600485329
MO,9,before_lockdown,1.235390178467281
MO,11,after_lockdown,1.0925064599483205
MT,6,before_lockdown,1.6557135850907307
NC,4,after_lockdown,1.2021814312317105
NC,10,after_lockdown,1.1862442040185472
ND,6,after_lockdown,0.781578947368421
NE,7,before_lockdown,1.2920388349514562
NM,6,after_lockdown,1.0119250425894377
NV,6,after_lockdown,1.3198562443845463
NV,8,before_lockdown,1.4634655532359082
OH,12,before_lockdown,1.0414414414414415
OR,10,before_lockdown,1.2130210511640875
PA,3,before_lockdown,1.2493455421238175
RI,11,after_lockdown,0.8897321428571429
SD,10,before_lockdown,1.254761161411177
TX,5,before_lockdown,1.0739377565965713
UT,11,before_lockdown,1.0414531904983697
VT,12,before_lockdown,1.183699458771092
WA,2,after_lockdown,1.1328881469115193
WA,11,after_lockdown,1.1625178471661803
WA,12,after_lockdown,1.0736632458299908
WI,7,before_lockdown,1.290587843093677
WI,8,before_lockdown,1.335287344289752
WY,9,before_lockdown,1.5654894948591864
AL,4,before_lockdown,1.3509368068337344
AR,3,after_lockdown,1.1491462113127
AR,10,before_lockdown,1.3838209982788297
AZ,9,after_lockdown,0.9135701088072264
CA,1,after_lockdown,0.6493835150965989
CO,5,before_lockdown,1.2821000502404363
CT,5,before_lockdown,1.386980326093496
DC,8,after_lockdown,1.1395961369622476
DC,11,after_lockdown,0.3722197802197802
DE,9,after_lockdown,1.0572519083969465
IA,9,before_lockdown,1.2190336749633968
ID,1,after_lockdown,1.166376609815524
IN,6,before_lockdown,1.3357673267326733
KS,12,before_lockdown,1.0710526315789475
LA,5,after_lockdown,0.8896660947604593
MA,11,after_lockdown,0.6544374563242488
MD,11,after_lockdown,1.0802474922658667
MN,9,before_lockdown,1.1737004023033841
MN,10,after_lockdown,0.7414566259471161
MO,5,after_lockdown,1.070228494623656
MS,1,before_lockdown,1.4531059683313032
MT,1,after_lockdown,1.4921070693205216
MT,3,after_lockdown,1.4048913043478262
MT,12,before_lockdown,1.6367831245880027
NC,9,before_lockdown,1.1582379558158105
ND,1,before_lockdown,1.5657370517928286
NE,2,before_lockdown,1.3243169770286802
NH,4,after_lockdown,1.0126404494382022
NJ,6,before_lockdown,1.2274869396850911
NY,6,before_lockdown,1.0096254935401725
OK,4,after_lockdown,0.9092290163311811
PA,5,after_lockdown,1.291811928766607
RI,12,after_lockdown,0.9123319696084161
SC,8,before_lockdown,1.1968048359240069
SD,7,after_lockdown,1.0566037735849056
TN,3,after_lockdown,0.789524194363067
UT,9,after_lockdown,0.86865234375
VA,2,after_lockdown,0.880757341576507
VA,4,before_lockdown,1.210715812687054
VA,7,after_lockdown,1.2083561794056366
VT,3,before_lockdown,1.4722905682483889
WA,4,before_lockdown,1.2440273675552398
WV,8,after_lockdown,1.172642029784887
WV,11,after_lockdown,1.3273771537970644
AZ,1,after_lockdown,0.928706258167562
CA,10,after_lockdown,0.7161919174314656
DC,2,before_lockdown,1.1697271773347324
DE,11,before_lockdown,1.0339366515837105
GA,10,after_lockdown,0.9109564382575303
ID,12,after_lockdown,1.0742352489440676
IL,4,before_lockdown,1.2029986890976623
IN,3,after_lockdown,0.8040184453227931
IN,7,before_lockdown,1.3063238540449291
KY,1,before_lockdown,1.4853573503776873
LA,12,after_lockdown,0.8657295619179027
MA,12,after_lockdown,0.6765973630831643
